# t (s)	mx ()	my ()	mz ()
2.6600079316474157e-09	0.99725205	-0.0002506391	0.00012780007
2.670009680953142e-09	0.99725205	-0.00041872595	7.057372e-05
2.6800115159611375e-09	0.99725205	-0.00047611908	-5.4544516e-06
2.6900133455754933e-09	0.99725205	-0.00040262955	-8.412927e-05
2.7000151810527953e-09	0.99725205	-0.00021698876	-0.00013701852
2.71001711233459e-09	0.9972521	2.7820639e-05	-0.00015327254
2.720019126971455e-09	0.99725205	0.00026056234	-0.00012333758
2.73002115704072e-09	0.9972521	0.0004148853	-6.223028e-05
2.740023121993583e-09	0.9972521	0.0004501472	1.5881573e-05
2.7500252041376095e-09	0.99725217	0.00036316234	8.2956554e-05
2.760027252225705e-09	0.9972522	0.00018554622	0.00012623632
2.7700005633252555e-09	0.9972522	-2.8474627e-05	0.00013160931
2.7800024307301356e-09	0.99725205	-0.00022273588	0.000106171974
2.7900042997054557e-09	0.99725205	-0.00035069298	5.443233e-05
2.8000061643144678e-09	0.99725205	-0.0003877348	-4.2393126e-06
2.8100079807483056e-09	0.9972521	-0.00033200704	-6.108816e-05
2.820009746818045e-09	0.9972521	-0.00020103765	-9.942618e-05
2.8300116382158757e-09	0.9972522	-2.5879386e-05	-0.00011694557
2.8400134934516585e-09	0.9972522	0.00015435019	-0.000105213985
2.850015364476669e-09	0.9972521	0.00029903228	-7.112522e-05
2.8600173009919548e-09	0.9972521	0.00037296192	-1.630712e-05
2.8700193431074015e-09	0.99725205	0.00035472235	4.2274776e-05
2.880021351921422e-09	0.9972521	0.00024392137	9.4765004e-05
2.8900233012633403e-09	0.9972522	6.536491e-05	0.00012141306
2.9000252745058226e-09	0.9972521	-0.00013493546	0.00011798737
2.9100272823994797e-09	0.99725205	-0.00030130177	7.910416e-05
2.9200005621554956e-09	0.99725205	-0.00038541135	1.9983761e-05
2.9300023714716776e-09	0.99725205	-0.0003625351	-4.7309608e-05
2.9400043146725143e-09	0.99725205	-0.00023935047	-9.803078e-05
2.950006161787209e-09	0.9972521	-5.3073545e-05	-0.00012225579
2.9600079759184817e-09	0.9972522	0.00014129374	-0.000109393164
2.970009834469993e-09	0.9972522	0.000289279	-6.959995e-05
2.9800117678893483e-09	0.9972521	0.00035314815	-1.12623175e-05
2.990013610308301e-09	0.9972521	0.0003218441	4.394489e-05
3.0000154930335746e-09	0.9972521	0.00021084755	8.635483e-05
3.0100174600635715e-09	0.9972521	5.4435535e-05	0.00010227757
3.0200194650280345e-09	0.99725205	-0.000106338506	9.497035e-05
3.0300213736863332e-09	0.9972521	-0.00023394934	6.3806925e-05
3.040023316245311e-09	0.9972521	-0.00030185207	2.1783337e-05
3.0500253415767766e-09	0.9972521	-0.00029755506	-2.6191437e-05
3.060027312585526e-09	0.9972521	-0.00022358345	-6.541424e-05
3.0700005224273514e-09	0.9972521	-9.663783e-05	-9.199175e-05
3.0800023885209963e-09	0.9972521	5.581328e-05	-9.4936964e-05
3.0900043057813597e-09	0.9972521	0.0001976358	-7.668542e-05
3.100006164896193e-09	0.99725217	0.00029239018	-3.572313e-05
3.110007981696804e-09	0.9972521	0.00031287715	1.4001959e-05
3.1200098945225802e-09	0.9972522	0.0002499669	6.387994e-05
3.130011801220881e-09	0.9972522	0.00011789059	9.514251e-05
3.140013700907704e-09	0.9972521	-4.799643e-05	0.00010245828
3.150015601378989e-09	0.99725205	-0.00020064466	7.872875e-05
3.1600175901268045e-09	0.99725205	-0.00029629172	3.516803e-05
3.170019504987908e-09	0.99725205	-0.00030828136	-1.9549874e-05
3.180021445856336e-09	0.9972521	-0.00023554506	-6.496248e-05
3.190023348568112e-09	0.9972521	-0.00010183264	-9.2722505e-05
3.2000253795247784e-09	0.9972522	5.2695043e-05	-9.192471e-05
3.2100273142692724e-09	0.9972521	0.00018522581	-6.905734e-05
3.2200004837149506e-09	0.9972521	0.0002626193	-2.806711e-05
3.230002376633989e-09	0.9972521	0.0002701512	1.50684045e-05
3.2400043100917827e-09	0.9972521	0.0002111862	5.369149e-05
3.2500061797633043e-09	0.9972522	0.00010470605	7.5204975e-05
3.2600080208620025e-09	0.9972522	-2.1946258e-05	8.040475e-05
3.2700099583232455e-09	0.9972521	-0.00013950345	6.5035056e-05
3.280011889200325e-09	0.9972521	-0.00022232183	3.7228194e-05
3.290013776018815e-09	0.99725205	-0.00025202567	-1.3447217e-06
3.300015628518275e-09	0.99725205	-0.00022108287	-3.808141e-05
3.310017641267285e-09	0.9972521	-0.00013489884	-6.862594e-05
3.320019572613127e-09	0.9972522	-1.2580455e-05	-8.069458e-05
3.3300214550630576e-09	0.9972522	0.000116097246	-7.422908e-05
3.34002335868079e-09	0.9972521	0.00021693684	-4.5498007e-05
3.3500254207661886e-09	0.9972521	0.00026111564	-5.59339e-06
3.3600273099717173e-09	0.9972521	0.0002343731	3.8706836e-05
3.3700004864367454e-09	0.9972521	0.00014332164	7.042654e-05
3.380002384882218e-09	0.99725217	1.2944917e-05	8.442266e-05
3.3900043402207737e-09	0.9972521	-0.00011899815	7.249676e-05
3.4000062031144365e-09	0.9972521	-0.00021499969	4.2675852e-05
3.4100080379409595e-09	0.99725205	-0.0002492674	2.4412694e-07
3.420009986622785e-09	0.9972521	-0.0002153626	-3.8228336e-05
3.4300119225425866e-09	0.99725205	-0.0001264323	-6.630594e-05
3.4400137841232533e-09	0.9972521	-9.755923e-06	-7.345347e-05
3.4500156813256974e-09	0.9972522	0.000102753664	-6.3534106e-05
3.4600176771594033e-09	0.9972522	0.00018346665	-3.67822e-05
3.470019601489981e-09	0.9972522	0.00021557968	-4.909195e-06
3.48002151505946e-09	0.9972521	0.00019493033	2.8333216e-05
3.4900234404987977e-09	0.9972521	0.00012914	5.1764342e-05
3.5000253966923055e-09	0.9972521	3.4474302e-05	6.475057e-05
3.51002730160767e-09	0.9972521	-6.735065e-05	6.0695485e-05
3.5200004815588098e-09	0.9972521	-0.00015304322	4.4356926e-05
3.530002429006573e-09	0.9972521	-0.00020251829	1.4886239e-05
3.5400043297110884e-09	0.9972521	-0.0002021054	-1.7198121e-05
3.550006215061647e-09	0.9972521	-0.0001496524	-4.7920897e-05
3.560008065046485e-09	0.99725217	-5.66795e-05	-6.498283e-05
3.5700100462862053e-09	0.9972521	5.332992e-05	-6.690475e-05
3.5800119525283257e-09	0.9972521	0.00015040017	-4.8481368e-05
3.5900138060079936e-09	0.9972521	0.0002069261	-1.8236276e-05
3.600015737114231e-09	0.9972521	0.00020629216	1.9108582e-05
3.610017695552856e-09	0.9972522	0.00014883062	4.8833448e-05
3.6200196346127966e-09	0.9972522	5.170617e-05	6.617411e-05
3.6300214926195194e-09	0.9972522	-5.6509474e-05	6.278575e-05
3.640023485232207e-09	0.99725205	-0.00014536318	4.429221e-05
3.6500253917842406e-09	0.9972521	-0.0001915817	1.3090664e-05
3.660027293140972e-09	0.9972521	-0.00018560453	-1.781688e-05
3.67000048363825e-09	0.9972521	-0.00013284606	-4.39474e-05
3.6800024799708138e-09	0.99725217	-4.9840648e-05	-5.571108e-05
3.690004345958387e-09	0.9972522	4.095615e-05	-5.5106524e-05
3.700006204344792e-09	0.9972522	0.0001175726	-3.9711824e-05
3.7100080595049975e-09	0.9972521	0.00016335162	-1.7649361e-05
3.720010081895729e-09	0.9972521	0.00016931484	9.631387e-06
3.7300119832414695e-09	0.9972522	0.00013518272	3.2418455e-05
3.740013839303917e-09	0.9972522	6.8803485e-05	4.9497692e-05
3.750015768928678e-09	0.9972521	-1.4793145e-05	5.3070726e-05
3.76001775956645e-09	0.99725217	-9.602125e-05	4.549361e-05
3.770019648064885e-09	0.9972521	-0.00015438859	2.4233277e-05
3.7800214897605785e-09	0.99725205	-0.0001738519	-2.190343e-06
3.790023493417317e-09	0.99725205	-0.0001475143	-3.067915e-05
3.800025407751337e-09	0.9972521	-8.1005914e-05	-4.9634866e-05
3.810027255430368e-09	0.9972522	8.234526e-06	-5.696852e-05
3.82000048801358e-09	0.9972522	9.50619e-05	-4.667448e-05
3.830002487677726e-09	0.9972521	0.00015536744	-2.5163527e-05
3.840004377420265e-09	0.9972522	0.00017198939	4.792458e-06
3.85000618894221e-09	0.9972521	0.0001412965	3.081135e-05
3.860008136316137e-09	0.9972521	7.349864e-05	4.9139337e-05
3.870010106924135e-09	0.9972521	-1.0959679e-05	5.1619292e-05
3.880012005194817e-09	0.9972522	-8.846349e-05	4.2091542e-05
3.890013852476605e-09	0.9972521	-0.0001391294	2.058955e-05
3.900015829236274e-09	0.9972521	-0.00015204029	-2.9881576e-06
3.910017766378299e-09	0.9972521	-0.00012671125	-2.6075315e-05
3.920019685452571e-09	0.9972521	-7.196021e-05	-3.9871935e-05
3.9300215462452755e-09	0.9972521	-2.2956451e-06	-4.538077e-05
3.94002352161106e-09	0.99725217	6.564806e-05	-3.8442857e-05
3.95002542311979e-09	0.9972521	0.00011668237	-2.451906e-05
3.960027268259994e-09	0.9972522	0.00013939546	-3.2062574e-06
3.970000541688674e-09	0.9972521	0.00012852742	1.7214306e-05
3.9800024792760625e-09	0.9972522	8.580571e-05	3.5661553e-05
3.990004397094921e-09	0.99725217	2.0717072e-05	4.3882974e-05
4.000006234763251e-09	0.9972521	-5.1048184e-05	4.2766627e-05
4.010008215270156e-09	0.99725205	-0.00011076048	2.8510214e-05
4.020010120252288e-09	0.9972521	-0.00014183621	7.908717e-06
4.0300120267710645e-09	0.9972521	-0.00013479007	-1.697528e-05
4.040013896875461e-09	0.9972521	-9.091665e-05	-3.565801e-05
4.050015904369481e-09	0.9972521	-2.2261831e-05	-4.6073284e-05
4.060017763341513e-09	0.9972522	5.1566843e-05	-4.1829873e-05
4.070019645101969e-09	0.9972521	0.00010969595	-2.7768543e-05
4.080021584380861e-09	0.9972521	0.00013630748	-4.9112464e-06
4.090023522295271e-09	0.9972521	0.00012546283	1.6625712e-05
4.1000254321916015e-09	0.9972522	8.202031e-05	3.4276378e-05
4.110027293032659e-09	0.9972521	1.9545878e-05	4.0362138e-05
4.120000595264349e-09	0.9972521	-4.445406e-05	3.7481426e-05
4.1300025217289e-09	0.9972521	-9.41601e-05	2.387351e-05
